date,home,away,home_score,away_score
29.08. 11:45,Turkey,Czech Republic,92,78
29.08. 10:30,Germany,Sweden,105,83
28.08. 18:30,Greece,Italy,75,66
28.08. 18:30,Slovenia,Poland,95,105
28.08. 15:15,Bosnia & Herzegovina,Cyprus,91,64
28.08. 15:00,Belgium,France,64,92
28.08. 12:00,Georgia,Spain,83,69
28.08. 12:00,Israel,Iceland,83,71
27.08. 18:15,Serbia,Estonia,98,64
27.08. 17:30,Sweden,Finland,90,93
27.08. 15:00,Latvia,Turkey,73,93
27.08. 13:30,Montenegro,Germany,76,106
27.08. 11:45,Czech Republic,Portugal,50,62
27.08. 10:30,Great Britain,Lithuania,70,94
24.02. 20:10,France,Bosnia & Herzegovina,76,74
24.02. 19:30,Great Britain,Czech Republic,96,75
24.02. 19:30,Greece,Netherlands,63,53
24.02. 19:00,Denmark,Finland,77,83
24.02. 19:00,Israel,Slovenia,84,74
24.02. 19:00,Portugal,Ukraine,60,88
24.02. 19:00,Serbia,Georgia,63,54
24.02. 17:30,Lithuania,Estonia,82,75
24.02. 17:30,North Macedonia,Poland,88,74
24.02. 17:00,Cyprus,Croatia,67,104
23.02. 19:30,Iceland,Turkey,83,71
23.02. 19:30,Italy,Hungary,67,71
23.02. 16:30,Germany,Bulgaria,94,85
23.02. 16:30AOT,Sweden,Montenegro,86,83
23.02. 16:00,Slovakia,Latvia,68,89
23.02. 16:00,Spain,Belgium,59,52
21.02. 19:00,Bosnia & Herzegovina,Cyprus,108,62
21.02. 19:00,Croatia,France,80,83
21.02. 19:00,Israel,Portugal,84,78
21.02. 18:30,Netherlands,Great Britain,69,73
21.02. 17:00AOT,Czech Republic,Greece,89,93
21.02. 17:00,Estonia,North Macedonia,84,65
21.02. 17:00,Georgia,Denmark,62,60
21.02. 17:00,Poland,Lithuania,48,82
21.02. 16:30,Finland,Serbia,95,105
21.02. 15:30,Ukraine,Slovenia,71,84
20.02. 19:15,Belgium,Slovakia,93,63
20.02. 18:00,Montenegro,Germany,76,95
20.02. 17:30AOT,Bulgaria,Sweden,81,77
20.02. 17:30,Latvia,Spain,83,66
20.02. 17:30,Turkey,Italy,67,80
20.02. 17:00,Hungary,Iceland,87,78
25.11. 19:30,Italy,Iceland,74,81
25.11. 19:15,Belgium,Latvia,83,85
25.11. 19:00,Spain,Slovakia,84,71
25.11. 18:30,Germany,Sweden,80,61
25.11. 18:00,Israel,Ukraine,88,75
25.11. 17:00,Bulgaria,Montenegro,86,90
25.11. 17:00,Hungary,Turkey,76,81
25.11. 17:00,Slovenia,Portugal,83,82
24.11. 19:00,Serbia,Denmark,98,51
24.11. 17:30,Lithuania,North Macedonia,94,72
24.11. 17:00,Bosnia & Herzegovina,Croatia,110,90
24.11. 16:30,Greece,Great Britain,77,67
24.11. 16:00,Estonia,Poland,86,88
24.11. 16:00,France,Cyprus,85,70
24.11. 15:00,Georgia,Finland,81,64
24.11. 14:00,Netherlands,Czech Republic,77,70
23.11. 16:00,Ukraine,Israel,73,86
22.11. 19:30,Iceland,Italy,71,95
22.11. 19:00,Portugal,Slovenia,82,74
22.11. 18:00,Montenegro,Bulgaria,85,62
22.11. 17:30,Sweden,Germany,73,72
22.11. 17:30,Turkey,Hungary,92,66
22.11. 17:00,Latvia,Belgium,75,72
22.11. 17:00AOT,Slovakia,Spain,72,76
21.11. 19:30,Great Britain,Greece,73,72
21.11. 19:00,Croatia,Bosnia & Herzegovina,89,76
21.11. 17:00,Cyprus,France,59,75
21.11. 17:00,Czech Republic,Netherlands,96,74
21.11. 17:00,Denmark,Serbia,52,72
21.11. 17:00,North Macedonia,Lithuania,67,82
21.11. 17:00,Poland,Estonia,78,82
21.11. 16:30,Finland,Georgia,83,90
26.02. 19:15,Czech Republic,Great Britain,90,82
26.02. 19:00,Croatia,Cyprus,92,63
26.02. 18:30,Netherlands,Greece,72,74
26.02. 18:00,Bosnia & Herzegovina,France,64,74
26.02. 17:00,Estonia,Lithuania,65,59
26.02. 17:00,Georgia,Serbia,63,76
26.02. 17:00,Poland,North Macedonia,71,96
26.02. 16:30,Finland,Denmark,89,85
25.02. 19:00,Ukraine,Portugal,77,79
25.02. 18:00,Montenegro,Sweden,95,70
25.02. 17:00,Hungary,Italy,62,83
25.02. 17:00,Slovenia,Israel,88,79
25.02. 16:30,Belgium,Spain,58,53
25.02. 15:05,Latvia,Slovakia,64,52
25.02. 15:00,Bulgaria,Germany,67,62
25.02. 13:00,Turkey,Iceland,76,75
23.02. 19:30,France,Croatia,73,61
23.02. 19:30,Great Britain,Netherlands,98,94
23.02. 19:00,Greece,Czech Republic,72,64
23.02. 19:00,Serbia,Finland,77,61
23.02. 18:00,North Macedonia,Estonia,69,74
23.02. 17:30,Denmark,Georgia,75,69
23.02. 17:00,Cyprus,Bosnia & Herzegovina,66,99
22.02. 19:30,Iceland,Hungary,70,65
22.02. 19:30,Italy,Turkey,87,80
22.02. 19:15,Portugal,Israel,70,72
22.02. 19:00,Spain,Latvia,75,79
22.02. 18:30,Germany,Montenegro,85,61
22.02. 18:00,Sweden,Bulgaria,84,70
22.02. 17:30,Lithuania,Poland,83,64
22.02. 17:00,Slovakia,Belgium,60,75
22.02. 17:00,Slovenia,Ukraine,87,73
